"","x_location","y_location"
"AC002480.1",-865.413569936049,1121.32821850544
"AC002480.2",-2350.41356993605,3593.32821850544
"AC002511.1",-2649.41356993605,257.328218505445
"AC003080.1",-2190.41356993605,2033.32821850544
"AC003092.1",1667.58643006395,2987.32821850544
"AC004130.2",-1948.41356993605,1829.32821850544
"AC004771.2",-2335.41356993605,743.328218505445
"AC004847.1",-1211.41356993605,-19.671781494555
"AC004918.1",2118.58643006395,-2132.67178149456
"AC004918.5",2880.58643006395,-1829.67178149456
"AC004943.2",2350.58643006395,207.328218505445
"AC005050.3",-1958.41356993605,2879.32821850544
"AC005082.1",3509.58643006395,2478.32821850544
"AC005083.1",-2051.41356993605,2447.32821850544
"AC005220.1",937.586430063951,1976.32821850544
"AC005224.2",-2856.41356993605,637.328218505445
"AC005224.3",-2164.41356993605,2177.32821850544
"AC005229.4",-2868.41356993605,-529.671781494555
"AC005280.1",-3111.41356993605,2384.32821850544
"AC005304.2",-1342.41356993605,1883.32821850544
"AC005332.4",-515.413569936049,-3430.67178149456
"AC005332.6",455.586430063951,-2176.67178149456
"AC005632.3",-1221.41356993605,198.328218505445
"AC005670.3",1874.58643006395,-1628.67178149456
"AC005674.2",-1386.41356993605,-1220.67178149456
"AC006001.2",-1134.41356993605,3906.32821850544
"AC006027.1",-3171.41356993605,641.328218505445
"AC006033.2",-2919.41356993605,565.328218505445
"AC006116.2",2034.58643006395,-2636.67178149456
"AC006449.2",-2905.41356993605,1601.32821850544
"AC006449.7",-1820.41356993605,4386.32821850544
"AC006978.1",-2621.41356993605,221.328218505445
"AC007032.1",-821.413569936049,4461.32821850544
"AC007036.1",-2548.41356993605,-480.671781494555
"AC007336.2",-3568.41356993605,162.328218505445
"AC007384.1",-2863.41356993605,2379.32821850544
"AC007406.5",1965.58643006395,-3751.67178149456
"AC007566.1",1017.58643006395,-902.671781494555
"AC007991.2",-2445.41356993605,347.328218505445
"AC008033.3",-1996.41356993605,-36.671781494555
"AC008074.2",-4224.41356993605,2005.32821850544
"AC008105.3",1005.58643006395,-626.671781494555
"AC008691.1",-1810.41356993605,3347.32821850544
"AC008764.8",-1379.41356993605,-1400.67178149456
"AC008875.3",-1556.41356993605,-1668.67178149456
"AC008957.1",-1107.41356993605,-3027.67178149456
"AC008957.3",-2268.41356993605,599.328218505445
"AC008969.1",-287.413569936049,2958.32821850544
"AC009005.1",2367.58643006395,-314.671781494555
"AC009061.2",2030.58643006395,-1736.67178149456
"AC009119.1",708.586430063951,-2995.67178149456
"AC009133.1",-2675.41356993605,-948.671781494555
"AC009303.4",3832.58643006395,1424.32821850544
"AC009318.1",-2639.41356993605,1688.32821850544
"AC009812.4",-1624.41356993605,2189.32821850544
"AC009961.1",1217.58643006395,-3705.67178149456
"AC009961.4",2392.58643006395,-1646.67178149456
"AC009974.1",1331.58643006395,1632.32821850544
"AC010168.2",560.586430063951,-3807.67178149456
"AC010186.2",-3206.41356993605,408.328218505445
"AC010186.3",-2623.41356993605,437.328218505445
"AC010200.1",2822.58643006395,52.328218505445
"AC010210.1",-382.413569936049,-3012.67178149456
"AC010247.1",319.586430063951,3586.32821850544
"AC010442.3",1812.58643006395,1795.32821850544
"AC010627.1",1891.58643006395,-3388.67178149456
"AC010883.2",1588.58643006395,-3291.67178149456
"AC010980.2",-1049.41356993605,2261.32821850544
"AC011195.1",-2822.41356993605,3066.32821850544
"AC012020.1",-3346.41356993605,303.328218505445
"AC012368.1",-2478.41356993605,-12.671781494555
"AC012368.2",-1622.41356993605,839.328218505445
"AC012569.1",-1730.41356993605,947.328218505445
"AC013652.1",1541.58643006395,4512.32821850544
"AC015849.7",-5073.41356993605,2839.32821850544
"AC015912.3",-870.413569936049,4206.32821850544
"AC016394.4",723.586430063951,-3250.67178149456
"AC016405.1",-2152.41356993605,539.328218505445
"AC016583.2",1729.58643006395,-3574.67178149456
"AC016831.1",-1673.41356993605,2261.32821850544
"AC016831.4",-1524.41356993605,327.328218505445
"AC016831.6",-2214.41356993605,2375.32821850544
"AC018529.2",2295.58643006395,440.328218505445
"AC018529.3",2680.58643006395,-1834.67178149456
"AC018607.1",-1796.41356993605,2789.32821850544
"AC018644.1",-1793.41356993605,-630.671781494555
"AC020656.2",1869.58643006395,-4029.67178149456
